,DATE,IMPRESSIONS,CLICKS,SPEND,SEARCH_IMPRESSION_SHARE,CPC,ELLIGIBLE IMPRESSIONS
0,2022-01-01,174.0,26.0,356.86,0.5735,2.050919540229885,303.4001743679163
1,2022-01-02,174.0,14.0,321.8,0.8540000000000001,1.849425287356322,203.7470725995316
2,2022-01-03,665.0,102.0,900.48,0.8212,1.3541052631578947,809.7905504140282
3,2022-01-04,649.0,104.0,912.57,0.7356,1.4061171032357473,882.2729744426318
4,2022-01-05,742.0,138.0,1367.08,0.8007,1.8424258760107817,926.6891469963782
5,2022-01-06,697.0,125.0,1388.9900000000002,0.9006000000000001,1.9928120516499286,773.9284921163668
6,2022-01-07,743.0,131.0,1412.4899999999998,0.9520000000000001,1.9010632570659485,780.4621848739495
7,2022-01-08,341.0,59.0,699.51,0.9684,2.051348973607038,352.12722015695994
8,2022-01-09,350.0,56.0,660.4699999999999,0.9678,1.8870571428571425,361.64496796858856
9,2022-01-10,820.0,133.0,1279.33,0.7890999999999999,1.5601585365853659,1039.1585350399191
10,2022-01-11,846.0,137.0,1384.44,0.6231,1.63645390070922,1357.7274915743862
11,2022-01-12,818.0,132.0,1251.76,0.6978,1.5302689486552568,1172.2556606477501
12,2022-01-13,678.0,137.0,1327.63,0.7026,1.958156342182891,964.9871904355252
13,2022-01-14,616.0,86.0,812.41,0.8601000000000001,1.3188474025974026,716.1957911870712
14,2022-01-15,203.0,29.0,280.83,0.9718000000000001,1.383399014778325,208.8907182547849
15,2022-01-16,179.0,34.0,468.22,0.9601000000000001,2.615754189944134,186.43891261326945
16,2022-01-17,616.0,103.0,1086.2,0.773,1.7633116883116884,796.895213454075
17,2022-01-18,911.0,164.0,1832.6699999999998,0.7159,2.011712403951701,1272.5240955440704
18,2022-01-19,868.0,135.0,1296.5900000000001,0.7620999999999999,1.493767281105991,1138.958141976119
19,2022-01-20,941.0,171.0,1396.88,0.7064,1.4844633368756643,1332.106455266138
20,2022-01-21,830.0,119.0,1127.1000000000001,0.7295999999999999,1.3579518072289158,1137.6096491228072
21,2022-01-22,362.0,61.0,661.62,0.8955,1.8276795580110496,404.24343941931886
