,DATE,SPEND,CLICKS,IMPRESSIONS,SEARCH_IMPRESSION_SHARE,CPC,ELIGIBLE_IMPRESSIONS
0,2022-01-01,1422.33,269.0,1576.0,1.5,5.287472118959108,1050.6666666666667
1,2022-01-02,1734.76,325.0,2380.0,1.7999999999999998,5.337723076923077,1322.2222222222224
2,2022-01-03,7308.0599999999995,1090.0,6409.0,1.78,6.7046422018348615,3600.561797752809
3,2022-01-04,9764.99,1475.0,7115.0,1.6099999999999999,6.620332203389831,4419.2546583850935
4,2022-01-05,11775.19,1564.0,8512.0,1.74,7.528893861892583,4891.954022988506
5,2022-01-06,10830.27,1556.0,8544.0,1.8399999999999999,6.960327763496144,4643.478260869566
6,2022-01-07,11608.36,1366.0,7840.0,1.93,8.498067349926794,4062.176165803109
7,2022-01-08,8412.22,851.0,4626.0,1.96,9.885099882491186,2360.204081632653
8,2022-01-09,9796.9,849.0,4712.0,1.94,11.539340400471142,2428.865979381443
9,2022-01-10,15558.14,1174.0,7311.0,1.76,13.252248722316866,4153.977272727273
10,2022-01-11,15645.92,1139.0,6680.0,1.58,13.736540825285338,4227.848101265822
11,2022-01-12,15705.25,1171.0,7013.0,1.6600000000000001,13.411827497865072,4224.698795180722
12,2022-01-13,15898.529999999999,1211.0,6538.0,1.67,13.128431048720065,3914.9700598802397
13,2022-01-14,10500.47,977.0,6448.0,1.85,10.74766632548618,3485.4054054054054
14,2022-01-15,7742.65,557.0,3579.0,1.95,13.900628366247755,1835.3846153846155
15,2022-01-16,8099.6900000000005,466.0,3055.0,1.9,17.381309012875537,1607.8947368421054
16,2022-01-17,13105.69,1163.0,5689.0,1.73,11.268865004299226,3288.4393063583816
17,2022-01-18,17890.97,1577.0,8007.0,1.68,11.344939759036146,4766.071428571428
18,2022-01-19,15104.47,1392.0,7982.0,1.73,10.850912356321839,4613.872832369942
19,2022-01-20,16048.59,1472.0,7810.0,1.67,10.90257472826087,4676.646706586826
20,2022-01-21,14609.67,1340.0,7098.0,1.69,10.902738805970149,4200.0
21,2022-01-22,10414.02,798.0,4197.0,1.87,13.05015037593985,2244.3850267379676
22,2022-01-23,11946.759999999998,928.0,4172.0,1.77,12.873663793103447,2357.062146892655
23,2022-01-24,10499.22,678.0,3960.0,1.65,15.485575221238937,2400.0
24,2022-01-25,3427.46,382.0,2033.0,0.99,8.972408376963351,2053.5353535353534
25,2022-01-26,3486.98,390.0,2070.0,1.0,8.940974358974358,2070.0
26,2022-01-27,2469.58,322.0,1776.0,0.81,7.669503105590062,2192.5925925925926
27,2022-01-28,1814.09,221.0,1222.0,0.95,8.208552036199094,1286.3157894736842
28,2022-01-29,1714.06,152.0,748.0,0.97,11.276710526315789,771.1340206185567
29,2022-01-30,1621.82,147.0,768.0,0.99,11.032789115646258,775.7575757575758
30,2022-01-31,3789.7599999999998,397.0,2039.0,0.92,9.545994962216625,2216.304347826087
31,2022-02-01,4226.14,462.0,2458.0,1.02,9.147489177489177,2409.8039215686276
32,2022-02-02,10644.79,990.0,5656.0,1.28,10.752313131313132,4418.75
33,2022-02-03,10383.06,925.0,4924.0,1.23,11.224929729729729,4003.2520325203254
34,2022-02-04,10000.39,846.0,4551.0,1.32,11.82079196217494,3447.7272727272725
35,2022-02-05,9355.49,637.0,2684.0,1.33,14.686797488226059,2018.0451127819547
36,2022-02-06,9784.53,776.0,3465.0,1.3699999999999999,12.608930412371135,2529.197080291971
37,2022-02-07,9905.39,728.0,4275.0,1.46,13.606304945054944,2928.082191780822
38,2022-02-08,16191.59,1009.0,6122.0,1.67,16.047165510406344,3665.868263473054
39,2022-02-09,13042.33,939.0,5567.0,1.3900000000000001,13.889595314164005,4005.035971223021
40,2022-02-10,12957.09,968.0,5763.0,1.37,13.385423553719008,4206.569343065693
41,2022-02-11,12439.21,770.0,4416.0,1.33,16.154818181818182,3320.300751879699
42,2022-02-12,10669.07,545.0,3301.0,1.71,19.576275229357798,1930.4093567251462
43,2022-02-13,10311.689999999999,549.0,3477.0,1.8900000000000001,18.782677595628414,1839.6825396825395
44,2022-02-14,15755.699999999999,1112.0,6220.0,1.46,14.168794964028775,4260.273972602739
45,2022-02-15,14682.960000000001,1048.0,5707.0,1.35,14.010458015267176,4227.407407407407
46,2022-02-16,13318.5,945.0,5576.0,1.3599999999999999,14.093650793650793,4100.0
47,2022-02-17,13381.97,801.0,4488.0,1.25,16.706579275905117,3590.4
48,2022-02-18,12722.1,829.0,4805.0,1.3399999999999999,15.346320868516285,3585.8208955223886
49,2022-02-19,11674.24,673.0,3027.0,1.42,17.3465676077266,2131.6901408450703
50,2022-02-20,11683.55,607.0,2991.0,1.45,19.24802306425041,2062.7586206896553
51,2022-02-21,13026.37,721.0,4044.0,1.32,18.067087378640778,3063.6363636363635
52,2022-02-22,12687.25,768.0,4981.0,1.32,16.519856770833332,3773.4848484848485
53,2022-02-23,12615.11,756.0,4384.0,1.23,16.68665343915344,3564.227642276423
54,2022-02-24,12532.970000000001,681.0,4126.0,1.25,18.403773861967696,3300.8
55,2022-02-25,6115.92,377.0,2546.0,1.37,16.22259946949602,1858.3941605839414
56,2022-02-26,648.9,51.0,275.0,1.0,12.723529411764705,275.0
57,2022-02-27,479.91,37.0,369.0,1.0,12.970540540540542,369.0
58,2022-02-28,1927.25,172.0,954.0,1.0,11.204941860465116,954.0
59,2022-03-01,1300.75,137.0,961.0,1.0,9.494525547445255,961.0
60,2022-03-02,1541.56,153.0,856.0,1.0,10.075555555555555,856.0
61,2022-03-03,1395.3100000000002,230.0,1343.0,1.09,6.066565217391305,1232.1100917431193
62,2022-03-04,1366.44,451.0,2395.0,1.27,3.02980044345898,1885.8267716535433
63,2022-03-05,1099.8200000000002,443.0,2641.0,1.54,2.4826636568848763,1714.935064935065
64,2022-03-06,2335.25,707.0,3910.0,1.76,3.303041018387553,2221.590909090909
65,2022-03-07,5136.2,1091.0,7234.0,1.81,4.707791017415215,3996.685082872928
66,2022-03-08,6622.37,1178.0,8114.0,1.85,5.6217062818336165,4385.945945945946
67,2022-03-09,14048.16,1337.0,8989.0,1.9100000000000001,10.507225130890053,4706.282722513089
68,2022-03-10,19394.95,1372.0,8864.0,1.92,14.136260932944607,4616.666666666667
69,2022-03-11,18082.34,1129.0,6933.0,1.9100000000000001,16.016244464127546,3629.8429319371726
70,2022-03-12,13396.43,603.0,3781.0,1.92,22.216301824212273,1969.2708333333335
71,2022-03-13,15227.72,530.0,3409.0,1.95,28.731547169811318,1748.2051282051282
72,2022-03-14,24158.06,1459.0,7742.0,1.75,16.557957505140507,4424.0
73,2022-03-15,20589.41,1367.0,8273.0,1.75,15.061748354059985,4727.428571428572
74,2022-03-16,19960.390000000003,1432.0,7988.0,1.7,13.938819832402237,4698.823529411765
75,2022-03-17,20212.51,1396.0,7251.0,1.65,14.478875358166189,4394.545454545455
76,2022-03-18,16920.41,1134.0,6678.0,1.69,14.92099647266314,3951.4792899408285
77,2022-03-19,13670.93,895.0,3848.0,1.71,15.274782122905028,2250.2923976608186
78,2022-03-20,12156.24,700.0,3783.0,1.73,17.36605714285714,2186.7052023121387
79,2022-03-21,22112.41,1278.0,7017.0,1.63,17.30235524256651,4304.9079754601225
80,2022-03-22,19898.1,1284.0,7287.0,1.6,15.49696261682243,4554.375
81,2022-03-23,20396.14,1291.0,7320.0,1.67,15.798714175058095,4383.233532934132
82,2022-03-24,20215.13,1221.0,7050.0,1.63,16.556208026208026,4325.153374233129
83,2022-03-25,16697.69,1076.0,5955.0,1.63,15.518299256505575,3653.3742331288345
84,2022-03-26,11606.970000000001,556.0,2978.0,1.75,20.87584532374101,1701.7142857142858
85,2022-03-27,12008.49,531.0,2992.0,1.71,22.614858757062148,1749.7076023391812
86,2022-03-28,19156.94,1239.0,6337.0,1.6099999999999999,15.461614205004034,3936.024844720497
87,2022-03-29,7594.84,491.0,2788.0,1.39,15.468105906313646,2005.7553956834533
88,2022-03-30,4.72,8.0,202.0,0.74,0.59,272.97297297297297
89,2022-03-31,5.46,13.0,151.0,0.8200000000000001,0.42,184.14634146341461
90,2022-04-01,536.61,277.0,1391.0,0.76,1.9372202166064982,1830.2631578947369
91,2022-04-02,782.87,296.0,1625.0,1.04,2.644831081081081,1562.5
92,2022-04-03,2687.42,476.0,1949.0,1.33,5.645840336134454,1465.4135338345864
93,2022-04-04,6557.73,712.0,3970.0,1.23,9.210294943820225,3227.642276422764
94,2022-04-05,6107.56,586.0,3302.0,0.99,10.42245733788396,3335.3535353535353
95,2022-04-06,4845.57,491.0,2710.0,0.9400000000000001,9.868778004073318,2882.978723404255
96,2022-04-07,4249.28,410.0,2651.0,1.05,10.364097560975608,2524.7619047619046
97,2022-04-08,6293.29,625.0,3158.0,1.51,10.069264,2091.390728476821
98,2022-04-09,3859.92,322.0,1568.0,1.24,11.987329192546584,1264.516129032258
99,2022-04-10,3671.29,364.0,1666.0,1.4,10.085961538461538,1190.0
100,2022-04-11,17993.73,1328.0,7438.0,1.83,13.54949548192771,4064.4808743169397
101,2022-04-12,21231.29,1667.0,9608.0,1.87,12.73622675464907,5137.967914438503
102,2022-04-13,20511.03,1738.0,10060.0,1.87,11.80151323360184,5379.679144385026
103,2022-04-14,18709.41,1558.0,9579.0,1.9,12.008607188703467,5041.578947368422
104,2022-04-15,15845.11,1300.0,7480.0,1.92,12.188546153846154,3895.8333333333335
105,2022-04-16,10220.27,870.0,4659.0,1.91,11.747436781609196,2439.2670157068064
106,2022-04-17,8382.140000000001,701.0,4291.0,1.91,11.957403708987163,2246.5968586387435
107,2022-04-18,17163.43,1338.0,8410.0,1.9,12.827675635276533,4426.315789473684
108,2022-04-19,17302.05,1420.0,9371.0,1.92,12.184542253521126,4880.729166666667
109,2022-04-20,16926.11,1464.0,9334.0,1.92,11.561550546448087,4861.458333333334
110,2022-04-21,17177.8,1362.0,9071.0,1.94,12.612187958883993,4675.773195876289
111,2022-04-22,9920.03,758.0,5209.0,1.69,13.087110817941953,3082.2485207100594
