,SPEND,CLICKS,IMPRESSIONS,SEARCH_IMPRESSION_SHARE,CPC,ELIGIBLE_IMPRESSIONS,lag_SPEND,lag_CLICKS,lag_IMPRESSIONS,lag_ELIGIBLE_IMPRESSIONS,rolling_7_SPEND,rolling_14_SPEND,rolling_7_CLICKS,rolling_14_CLICKS,rolling_7_IMPRESSIONS,rolling_14_IMPRESSIONS,rolling_7_ELIGIBLE_IMPRESSIONS,rolling_14_ELIGIBLE_IMPRESSIONS
2022-04-26,8746.880000000001,736.0,4449.0,1.24,11.884347826086955,3587.903225806452,9079.54,721.0,4487.0,3399.242424242424,10656.800000000001,13052.217142857142,871.5714285714286,1073.2857142857142,5392.142857142857,6542.5,3283.903762415891,3664.0947566059945
2022-04-27,8225.02,708.0,3841.0,1.18,11.61725988700565,3255.084745762712,8746.880000000001,736.0,4449.0,3587.903225806452,9413.787142857142,12174.645,763.5714285714286,999.7142857142857,4607.428571428572,6098.285714285715,3054.421821334373,3512.338013847257
2022-04-28,6319.9800000000005,640.0,3380.0,1.15,9.87496875,2939.130434782609,8225.02,708.0,3841.0,3255.084745762712,7862.67,11289.685714285715,660.4285714285714,934.1428571428571,3794.4285714285716,5655.5,2806.3299983209904,3362.163120091128
2022-04-29,8489.61,838.0,4381.0,1.38,10.130799522673032,3174.6376811594205,6319.9800000000005,640.0,3380.0,2939.130434782609,7658.324285714286,10764.292857142858,671.8571428571429,901.1428571428571,3676.1428571428573,5434.142857142857,2819.528449813756,3310.6491449358477
2022-04-30,2121.19,223.0,1040.0,1.0,9.512062780269058,1040.0,8489.61,838.0,4381.0,3174.6376811594205,7028.835714285715,10185.787142857143,630.7142857142857,854.9285714285714,3479.714285714286,5175.642857142857,2738.099878385185,3210.7015009567904
2022-05-01,8895.43,583.0,3458.0,1.33,15.25802744425386,2600.0,2121.19,223.0,1040.0,1040.0,7411.092857142858,10222.450714285715,635.5714285714286,846.5,3576.5714285714284,5116.142857142857,2856.571215964803,3235.9445824825953
2022-05-02,10540.56,1115.0,7605.0,1.77,9.453417040358744,4296.610169491525,8895.43,583.0,3458.0,2600.0,7619.8099999999995,9749.388571428572,691.8571428571429,830.5714285714286,4022.0,5058.642857142857,2984.766608143246,3226.6798953410116
2022-05-03,10456.48,1260.0,8429.0,1.83,8.29879365079365,4606.0109289617485,10540.56,1115.0,7605.0,4296.610169491525,7864.038571428572,9260.419285714286,766.7142857142857,819.1428571428571,4590.571428571428,4991.357142857143,3130.2105657368593,3207.0571640763746
2022-05-04,10309.15,1214.0,8164.0,1.81,8.4918863261944,4510.49723756906,10456.48,1260.0,8429.0,4606.0109289617485,8161.771428571427,8787.779285714287,839.0,801.2857142857143,5208.142857142857,4907.785714285715,3309.5552074234806,3181.9885143789265
2022-05-05,10047.490000000002,1185.0,7557.0,1.81,8.478894514767934,4175.138121546961,10309.15,1214.0,8164.0,4510.49723756906,8694.272857142858,8278.471428571429,916.8571428571429,788.6428571428571,5804.857142857143,4799.642857142857,3486.127734104102,3146.228866212546
