Date,Spend Actual,Actual CPC,Predicted CPC Actual,Predicted Clicks Actual,ROI Actual
2023-05-05,11594.57,6.804325117370892,6.743274961719827,1719.427142719223,2845.552353854293
2023-05-06,7738.070000000001,6.480795644891122,6.485962954649466,1193.0487506797986,2281.412364739276
2023-05-07,8146.19,6.1249548872180455,6.351756174016273,1282.509872360086,2624.6062825441377
2023-05-08,11950.93,7.857284681130835,7.799535979616829,1532.2616667494517,917.3360615622896
2023-05-09,11933.490000000002,6.734475169300227,6.720798773641232,1775.6059066673422,2978.4338073408326
2023-05-10,10539.01,6.138037274315667,6.186262656007306,1703.6150234852803,3768.3187444369323
2023-05-11,11293.89,6.413339011925042,6.433705588913477,1755.425367841134,3448.5532620027534
2023-05-12,10343.0,6.845135671740569,6.828588868579509,1514.6614035575353,2377.455231061278
2023-05-13,7520.719999999999,7.498225324027915,7.456486959054409,1008.614383864454,949.8425199255198
2023-05-14,6346.73,7.131157303370786,7.229146416866312,877.9362920624283,1026.3695407118685
2023-05-15,11559.61,7.763337810611149,7.943284038152404,1455.2683681557921,662.0496282353051
2023-05-16,12035.3,6.85381548974943,6.884825556337445,1748.0907688244288,2645.5457074531696
2023-05-17,12343.8,6.730534351145038,6.748284466804273,1829.1760018002835,3018.0170938943593
2023-05-18,12504.06,6.16267126663381,6.250030019209509,2000.6399907790342,4297.7488903582835
2023-05-19,10800.82,6.331078546307151,6.341877590227046,1703.0949977092382,3502.141455095827
2023-05-20,7343.12,5.945846153846154,6.025399526527098,1218.6942903406782,2891.739173289633
2023-05-21,7373.98,7.159203883495146,7.153515709668358,1030.819012535846,1283.061811121146
2023-05-22,13611.75,9.117046215673142,9.008646962869626,1510.9649713328422,-922.338209088728
2023-05-23,11764.36,8.215335195530727,8.183297123777217,1437.606361110575,308.970259452497
2023-05-24,11934.46,7.263822276323799,7.294645191643852,1636.0576404279593,1805.507177891499
2023-05-25,11314.57,7.134029003783102,7.099042389819125,1593.8163739135357,2070.645853048856
2023-05-26,11225.05,7.443667108753315,7.424374982332103,1511.9185152571658,1472.3698597586863
2023-05-27,6809.78,7.591727982162764,7.640176074979966,891.3119191455096,675.6509601948519
2023-05-28,7490.1,8.639100346020761,8.652308682329595,865.6764656694293,-219.9611423863098
2023-05-29,13171.56,10.33874411302983,10.20517570501648,1290.6744950530697,-2332.1954439125657
2023-05-30,14147.37,8.558602540834846,8.418783099403756,1680.4530812775022,-34.560273626419075
2023-05-31,12904.86,7.328143100511074,7.28649726201856,1771.064962484457,1968.9279724608605
2023-06-01,12308.48,6.759187259747391,6.84031928081914,1799.4013867911203,2803.2834143349737
2023-06-02,12210.92,7.272733770101251,7.3040261046820145,1671.8067302870916,1829.2757940272277
2023-06-03,9696.36,6.950795698924732,6.985428690617722,1388.0837425229734,1961.0685594494953
2023-06-04,10535.15,7.270634920634921,7.279619558061663,1447.211618130932,1618.8472927731545
2023-06-05,11666.14,7.624928104575163,7.639532114561956,1527.0751958438393,1158.5689531504104
2023-06-06,12296.54,6.568664529914529,6.622903689153159,1856.6690045846497,3296.169298755831
2023-06-07,12197.47,6.62186210640608,6.6436841521929635,1835.9497111213254,3221.2341750361647
2023-06-08,11893.53,6.874872832369943,6.838990877324349,1739.0767458741168,2711.6139861827305
2023-06-09,9561.7,6.603383977900553,6.622306599722385,1443.8624754101297,2564.1704652575518
2023-06-10,6609.75,6.676515151515152,6.697176124541789,986.9458226995978,1678.8352400056137
2023-06-11,6696.51,7.326597374179431,7.31740869531945,915.1477358758702,989.0993227663103
2023-06-12,11265.08,7.040675,7.083031388727267,1590.4320313938626,2091.713409982065
2023-06-13,11346.69,6.600750436300175,6.554950939436686,1731.0106673315702,3190.7133078042516
2023-06-14,11587.28,6.1864815803523765,6.185557963248722,1873.2796732074007,4144.929299269097
2023-06-15,11575.06,5.840090817356207,5.886682130748341,1966.3130678551736,4938.463940832617
2023-06-16,11825.66,6.448015267175572,6.438667993937607,1836.6624915486511,3599.0302597770024
2023-06-17,6767.400000000001,6.955190133607401,6.896376776793796,981.2978929417255,1473.7526999907632
2023-06-18,8226.28,7.451340579710146,7.403647908901576,1111.1117250874877,1105.0774390197166
2023-06-19,11520.84,8.446363636363637,8.31116785813867,1386.1878615191574,120.66653927005791
2023-06-20,11829.04,7.333564786112833,7.308113272324654,1618.6174952700583,1764.4610533944779
2023-06-21,11864.37,7.020337278106509,7.049957305399978,1682.899553294086,2268.985729386468
2023-06-22,12443.07,7.582614259597806,7.549996241649235,1648.0895621322736,1397.9438679463765
2023-06-23,11740.6,7.932837837837838,7.915419182427831,1483.25688500036,716.1132677278802
2023-06-24,7815.68,8.403956989247312,8.241797080101334,948.2980379206213,148.33275475842674
2023-06-25,7696.25,9.443251533742332,9.32597790686752,825.2485773457161,-765.6333235815755
2023-06-26,10945.23,9.222009406693614,8.922298270154888,1226.727651171652,-642.9049187751989
2023-06-27,14194.21,9.000767279644895,8.989472294581292,1578.9814501743376,-933.581056499017
2023-06-28,12472.04,7.225979142526072,7.327626437901875,1702.0572904056405,1822.2065639212342
